V,J,w,dprime,P,th,R,Ptilde(y1),Jtilde,M,
       -22.7993,         1.8189,         0.5756,         1.0000,         0.5701,         9.4988,         0.8142,         0.3954,         1.8189,  1414,
       -22.7978,         1.8184,         0.5761,         1.0000,         0.5700,         9.4956,         0.8137,         0.3954,         1.8184,  1414,
       -22.7964,         1.8180,         0.5766,         1.0000,         0.5700,         9.4923,         0.8131,         0.3954,         1.8180,  1414,
       -22.7949,         1.8175,         0.5770,         1.0000,         0.5699,         9.4891,         0.8125,         0.3954,         1.8175,  1414,
       -22.7935,         1.8170,         0.5775,         1.0000,         0.5699,         9.4859,         0.8119,         0.3954,         1.8170,  1414,
       -22.7920,         1.8166,         0.5780,         1.0000,         0.5698,         9.4826,         0.8113,         0.3954,         1.8166,  1414,
       -22.7905,         1.8161,         0.5784,         1.0000,         0.5698,         9.4793,         0.8108,         0.3952,         1.8161,  1415,
       -22.7891,         1.8156,         0.5789,         1.0000,         0.5697,         9.4761,         0.8102,         0.3952,         1.8156,  1415,
       -22.7876,         1.8152,         0.5794,         1.0000,         0.5697,         9.4728,         0.8096,         0.3952,         1.8152,  1415,
       -22.7862,         1.8147,         0.5799,         1.0000,         0.5696,         9.4695,         0.8090,         0.3952,         1.8147,  1415,
       -22.7847,         1.8142,         0.5803,         1.0000,         0.5696,         9.4663,         0.8085,         0.3952,         1.8142,  1415,
       -22.7833,         1.8137,         0.5808,         1.0000,         0.5695,         9.4630,         0.8079,         0.3952,         1.8137,  1415,
       -22.7818,         1.8133,         0.5813,         1.0000,         0.5695,         9.4597,         0.8073,         0.3952,         1.8133,  1415,
       -22.7803,         1.8128,         0.5818,         1.0000,         0.5694,         9.4564,         0.8067,         0.3949,         1.8128,  1416,
       -22.7789,         1.8123,         0.5822,         1.0000,         0.5694,         9.4531,         0.8062,         0.3949,         1.8123,  1416,
       -22.7774,         1.8118,         0.5827,         1.0000,         0.5693,         9.4498,         0.8056,         0.3949,         1.8118,  1416,
       -22.7760,         1.8113,         0.5832,         1.0000,         0.5693,         9.4465,         0.8050,         0.3949,         1.8113,  1416,
       -22.7745,         1.8109,         0.5837,         1.0000,         0.5692,         9.4432,         0.8044,         0.3949,         1.8109,  1416,
       -22.7731,         1.8104,         0.5842,         1.0000,         0.5692,         9.4398,         0.8039,         0.3949,         1.8104,  1416,
       -22.7716,         1.8099,         0.5846,         1.0000,         0.5691,         9.4365,         0.8033,         0.3949,         1.8099,  1416,
       -22.7701,         1.8094,         0.5851,         1.0000,         0.5691,         9.4332,         0.8027,         0.3923,         1.8094,  1425,
       -22.7687,         1.8089,         0.5856,         1.0000,         0.5690,         9.4299,         0.8021,         0.3923,         1.8089,  1425,
       -22.7672,         1.8085,         0.5861,         1.0000,         0.5690,         9.4265,         0.8016,         0.3923,         1.8085,  1425,
       -22.7658,         1.8080,         0.5866,         1.0000,         0.5689,         9.4232,         0.8010,         0.3923,         1.8080,  1425,
       -22.7643,         1.8075,         0.5871,         1.0000,         0.5689,         9.4198,         0.8004,         0.3923,         1.8075,  1425,
       -22.7629,         1.8070,         0.5875,         1.0000,         0.5688,         9.4164,         0.7999,         0.3923,         1.8070,  1425,
       -22.7614,         1.8065,         0.5880,         1.0000,         0.5688,         9.4131,         0.7993,         0.3923,         1.8065,  1425,
       -22.7599,         1.8060,         0.5885,         1.0000,         0.5687,         9.4097,         0.7987,         0.3921,         1.8060,  1426,
       -22.7585,         1.8055,         0.5890,         1.0000,         0.5687,         9.4063,         0.7981,         0.3921,         1.8055,  1426,
       -22.7570,         1.8050,         0.5895,         1.0000,         0.5686,         9.4030,         0.7976,         0.3921,         1.8050,  1426,
       -22.7556,         1.8046,         0.5900,         1.0000,         0.5686,         9.3996,         0.7970,         0.3921,         1.8046,  1426,
       -22.7541,         1.8041,         0.5905,         1.0000,         0.5685,         9.3962,         0.7964,         0.3921,         1.8041,  1426,
       -22.7527,         1.8036,         0.5910,         1.0000,         0.5685,         9.3928,         0.7959,         0.3921,         1.8036,  1426,
       -22.7512,         1.8031,         0.5915,         1.0000,         0.5684,         9.3894,         0.7953,         0.3921,         1.8031,  1426,
       -22.7497,         1.8026,         0.5920,         1.0000,         0.5684,         9.3860,         0.7947,         0.3918,         1.8026,  1427,
       -22.7483,         1.8021,         0.5924,         1.0000,         0.5683,         9.3826,         0.7941,         0.3918,         1.8021,  1427,
       -22.7468,         1.8016,         0.5929,         1.0000,         0.5683,         9.3791,         0.7936,         0.3918,         1.8016,  1427,
       -22.7454,         1.8011,         0.5934,         1.0000,         0.5682,         9.3757,         0.7930,         0.3918,         1.8011,  1427,
       -22.7439,         1.8006,         0.5939,         1.0000,         0.5682,         9.3723,         0.7924,         0.3918,         1.8006,  1427,
       -22.7425,         1.8001,         0.5944,         1.0000,         0.5681,         9.3689,         0.7919,         0.3918,         1.8001,  1427,
       -22.7410,         1.7996,         0.5949,         1.0000,         0.5681,         9.3654,         0.7913,         0.3918,         1.7996,  1427,
       -22.7395,         1.7991,         0.5954,         1.0000,         0.5680,         9.3620,         0.7907,         0.3915,         1.7991,  1428,
       -22.7381,         1.7986,         0.5959,         1.0000,         0.5680,         9.3585,         0.7901,         0.3915,         1.7986,  1428,
       -22.7366,         1.7981,         0.5964,         1.0000,         0.5679,         9.3551,         0.7896,         0.3915,         1.7981,  1428,
       -22.7352,         1.7976,         0.5969,         1.0000,         0.5679,         9.3516,         0.7890,         0.3915,         1.7976,  1428,
       -22.7337,         1.7971,         0.5974,         1.0000,         0.5678,         9.3481,         0.7884,         0.3915,         1.7971,  1428,
       -22.7323,         1.7966,         0.5979,         1.0000,         0.5678,         9.3447,         0.7879,         0.3915,         1.7966,  1428,
       -22.7308,         1.7961,         0.5984,         1.0000,         0.5677,         9.3412,         0.7873,         0.3915,         1.7961,  1428,
       -22.7293,         1.7956,         0.5989,         1.0000,         0.5677,         9.3377,         0.7867,         0.3912,         1.7956,  1429,
       -22.7279,         1.7951,         0.5995,         1.0000,         0.5676,         9.3342,         0.7862,         0.3912,         1.7951,  1429,
       -22.7264,         1.7946,         0.6000,         1.0000,         0.5676,         9.3307,         0.7856,         0.3912,         1.7946,  1429,
       -22.7250,         1.7941,         0.6005,         1.0000,         0.5675,         9.3272,         0.7850,         0.3912,         1.7941,  1429,
       -22.7235,         1.7936,         0.6010,         1.0000,         0.5675,         9.3237,         0.7844,         0.3912,         1.7936,  1429,
       -22.7221,         1.7931,         0.6015,         1.0000,         0.5674,         9.3202,         0.7839,         0.3912,         1.7931,  1429,
       -22.7206,         1.7925,         0.6020,         1.0000,         0.5674,         9.3166,         0.7833,         0.3912,         1.7925,  1429,
       -22.7191,         1.7920,         0.6025,         1.0000,         0.5673,         9.3131,         0.7827,         0.3904,         1.7920,  1432,
       -22.7177,         1.7915,         0.6030,         1.0000,         0.5672,         9.3096,         0.7822,         0.3904,         1.7915,  1432,
       -22.7162,         1.7910,         0.6035,         1.0000,         0.5672,         9.3060,         0.7816,         0.3901,         1.7910,  1433,
       -22.7148,         1.7905,         0.6040,         1.0000,         0.5671,         9.3025,         0.7810,         0.3901,         1.7905,  1433,
       -22.7133,         1.7900,         0.6046,         1.0000,         0.5671,         9.2990,         0.7805,         0.3901,         1.7900,  1433,
       -22.7119,         1.7895,         0.6051,         1.0000,         0.5670,         9.2954,         0.7799,         0.3901,         1.7895,  1433,
       -22.7104,         1.7890,         0.6056,         1.0000,         0.5670,         9.2918,         0.7793,         0.3901,         1.7890,  1433,
       -22.7089,         1.7884,         0.6061,         1.0000,         0.5669,         9.2883,         0.7788,         0.3901,         1.7884,  1433,
       -22.7075,         1.7879,         0.6066,         1.0000,         0.5669,         9.2847,         0.7782,         0.3901,         1.7879,  1433,
       -22.7060,         1.7874,         0.6071,         1.0000,         0.5668,         9.2811,         0.7776,         0.3898,         1.7874,  1434,
       -22.7046,         1.7869,         0.6077,         1.0000,         0.5668,         9.2775,         0.7770,         0.3898,         1.7869,  1434,
       -22.7031,         1.7864,         0.6082,         1.0000,         0.5667,         9.2739,         0.7765,         0.3898,         1.7864,  1434,
       -22.7017,         1.7858,         0.6087,         1.0000,         0.5667,         9.2703,         0.7759,         0.3898,         1.7858,  1434,
       -22.7002,         1.7853,         0.6092,         1.0000,         0.5666,         9.2667,         0.7753,         0.3898,         1.7853,  1434,
       -22.6987,         1.7848,         0.6098,         1.0000,         0.5665,         9.2631,         0.7748,         0.3898,         1.7848,  1434,
       -22.6973,         1.7843,         0.6103,         1.0000,         0.5665,         9.2595,         0.7742,         0.3898,         1.7843,  1434,
       -22.6958,         1.7837,         0.6108,         1.0000,         0.5664,         9.2559,         0.7736,         0.3895,         1.7837,  1435,
       -22.6944,         1.7832,         0.6113,         1.0000,         0.5664,         9.2523,         0.7731,         0.3895,         1.7832,  1435,
       -22.6929,         1.7827,         0.6119,         1.0000,         0.5663,         9.2486,         0.7725,         0.3895,         1.7827,  1435,
       -22.6915,         1.7822,         0.6124,         1.0000,         0.5663,         9.2450,         0.7719,         0.3895,         1.7822,  1435,
       -22.6900,         1.7816,         0.6129,         1.0000,         0.5662,         9.2413,         0.7714,         0.3895,         1.7816,  1435,
       -22.6885,         1.7811,         0.6134,         1.0000,         0.5662,         9.2377,         0.7708,         0.3895,         1.7811,  1435,
       -22.6871,         1.7806,         0.6140,         1.0000,         0.5661,         9.2340,         0.7702,         0.3895,         1.7806,  1435,
       -22.6856,         1.7800,         0.6145,         1.0000,         0.5660,         9.2304,         0.7697,         0.3892,         1.7800,  1436,
       -22.6842,         1.7795,         0.6150,         1.0000,         0.5660,         9.2267,         0.7691,         0.3892,         1.7795,  1436,
       -22.6827,         1.7790,         0.6156,         1.0000,         0.5659,         9.2230,         0.7685,         0.3892,         1.7790,  1436,
       -22.6812,         1.7784,         0.6161,         1.0000,         0.5659,         9.2193,         0.7680,         0.3892,         1.7784,  1436,
       -22.6798,         1.7779,         0.6111,         1.0000,         0.5658,         9.2157,         0.7674,         0.3892,         1.7779,  1436,
       -22.6783,         1.7774,         0.6117,         1.0000,         0.5658,         9.2120,         0.7668,         0.3892,         1.7774,  1436,
       -22.6769,         1.7768,         0.6122,         1.0000,         0.5657,         9.2084,         0.7663,         0.3892,         1.7768,  1436,
       -22.6754,         1.7763,         0.6127,         1.0000,         0.5657,         9.2047,         0.7657,         0.3889,         1.7763,  1437,
       -22.6740,         1.7758,         0.6132,         1.0000,         0.5656,         9.2011,         0.7651,         0.3889,         1.7758,  1437,
       -22.6725,         1.7753,         0.6138,         1.0000,         0.5655,         9.1974,         0.7646,         0.3889,         1.7753,  1437,
       -22.6710,         1.7747,         0.6143,         1.0000,         0.5655,         9.1938,         0.7640,         0.3889,         1.7747,  1437,
       -22.6696,         1.7742,         0.6148,         1.0000,         0.5654,         9.1901,         0.7634,         0.3889,         1.7742,  1437,
       -22.6681,         1.7737,         0.6154,         1.0000,         0.5654,         9.1864,         0.7629,         0.3889,         1.7737,  1437,
       -22.6667,         1.7731,         0.6159,         1.0000,         0.5653,         9.1828,         0.7623,         0.3889,         1.7731,  1437,
       -22.6652,         1.7726,         0.6164,         1.0000,         0.5653,         9.1791,         0.7617,         0.3889,         1.7726,  1437,
       -22.6638,         1.7721,         0.6170,         1.0000,         0.5652,         9.1754,         0.7612,         0.3886,         1.7721,  1438,
       -22.6623,         1.7715,         0.6175,         1.0000,         0.5652,         9.1717,         0.7606,         0.3886,         1.7715,  1438,
       -22.6608,         1.7710,         0.6180,         1.0000,         0.5651,         9.1680,         0.7600,         0.3886,         1.7710,  1438,
       -22.6594,         1.7704,         0.6186,         1.0000,         0.5650,         9.1643,         0.7595,         0.3886,         1.7704,  1438,
       -22.6579,         1.7699,         0.6191,         1.0000,         0.5650,         9.1606,         0.7589,         0.3886,         1.7699,  1438,
       -22.6565,         1.7694,         0.6197,         1.0000,         0.5649,         9.1568,         0.7583,         0.3886,         1.7694,  1438,
       -22.6550,         1.7688,         0.6202,         1.0000,         0.5649,         9.1531,         0.7578,         0.3886,         1.7688,  1438,
       -22.6536,         1.7683,         0.6208,         1.0000,         0.5648,         9.1494,         0.7572,         0.3884,         1.7683,  1439,
       -22.6521,         1.7677,         0.6213,         1.0000,         0.5648,         9.1456,         0.7566,         0.3884,         1.7677,  1439,
       -22.6506,         1.7672,         0.6218,         1.0000,         0.5647,         9.1419,         0.7561,         0.3884,         1.7672,  1439,
       -22.6492,         1.7666,         0.6224,         1.0000,         0.5646,         9.1381,         0.7555,         0.3884,         1.7666,  1439,
       -22.6477,         1.7661,         0.6229,         1.0000,         0.5646,         9.1344,         0.7549,         0.3884,         1.7661,  1439,
       -22.6463,         1.7656,         0.6235,         1.0000,         0.5645,         9.1306,         0.7544,         0.3884,         1.7656,  1439,
       -22.6448,         1.7650,         0.6240,         1.0000,         0.5645,         9.1268,         0.7538,         0.3884,         1.7650,  1439,
       -22.6434,         1.7645,         0.6246,         1.0000,         0.5644,         9.1230,         0.7532,         0.3881,         1.7645,  1440,
       -22.6419,         1.7639,         0.6251,         1.0000,         0.5643,         9.1193,         0.7527,         0.3881,         1.7639,  1440,
       -22.6404,         1.7634,         0.6257,         1.0000,         0.5643,         9.1155,         0.7521,         0.3881,         1.7634,  1440,
       -22.6390,         1.7628,         0.6262,         1.0000,         0.5642,         9.1117,         0.7515,         0.3881,         1.7628,  1440,
       -22.6375,         1.7622,         0.6268,         1.0000,         0.5642,         9.1079,         0.7510,         0.3881,         1.7622,  1440,
       -22.6361,         1.7617,         0.6273,         1.0000,         0.5641,         9.1041,         0.7504,         0.3881,         1.7617,  1440,
       -22.6346,         1.7611,         0.6279,         1.0000,         0.5641,         9.1002,         0.7498,         0.3881,         1.7611,  1440,
       -22.6332,         1.7606,         0.6284,         1.0000,         0.5640,         9.0964,         0.7493,         0.3878,         1.7606,  1441,
       -22.6317,         1.7600,         0.6290,         1.0000,         0.5639,         9.0926,         0.7487,         0.3878,         1.7600,  1441,
       -22.6302,         1.7595,         0.6296,         1.0000,         0.5639,         9.0887,         0.7482,         0.3878,         1.7595,  1441,
       -22.6288,         1.7589,         0.6301,         1.0000,         0.5638,         9.0849,         0.7476,         0.3878,         1.7589,  1441,
       -22.6273,         1.7583,         0.6307,         1.0000,         0.5638,         9.0810,         0.7470,         0.3878,         1.7583,  1441,
       -22.6259,         1.7578,         0.6312,         1.0000,         0.5637,         9.0772,         0.7465,         0.3878,         1.7578,  1441,
       -22.6244,         1.7572,         0.6318,         1.0000,         0.5636,         9.0733,         0.7459,         0.3878,         1.7572,  1441,
       -22.6230,         1.7567,         0.6324,         1.0000,         0.5636,         9.0694,         0.7453,         0.3875,         1.7567,  1442,
       -22.6215,         1.7561,         0.6329,         1.0000,         0.5635,         9.0656,         0.7448,         0.3875,         1.7561,  1442,
       -22.6200,         1.7555,         0.6335,         1.0000,         0.5635,         9.0617,         0.7442,         0.3875,         1.7555,  1442,
       -22.6186,         1.7550,         0.6341,         1.0000,         0.5634,         9.0578,         0.7436,         0.3875,         1.7550,  1442,
       -22.6171,         1.7544,         0.6346,         1.0000,         0.5633,         9.0539,         0.7431,         0.3875,         1.7544,  1442,
       -22.6157,         1.7538,         0.6352,         1.0000,         0.5633,         9.0500,         0.7425,         0.3875,         1.7538,  1442,
       -22.6142,         1.7533,         0.6358,         1.0000,         0.5632,         9.0461,         0.7419,         0.3875,         1.7533,  1442,
       -22.6128,         1.7527,         0.6363,         1.0000,         0.5632,         9.0421,         0.7414,         0.3872,         1.7527,  1443,
       -22.6113,         1.7521,         0.6369,         1.0000,         0.5631,         9.0382,         0.7408,         0.3872,         1.7521,  1443,
       -22.6098,         1.7515,         0.6375,         1.0000,         0.5630,         9.0343,         0.7402,         0.3872,         1.7515,  1443,
       -22.6084,         1.7510,         0.6381,         1.0000,         0.5630,         9.0303,         0.7397,         0.3872,         1.7510,  1443,
       -22.6069,         1.7504,         0.6386,         1.0000,         0.5629,         9.0264,         0.7391,         0.3872,         1.7504,  1443,
       -22.6055,         1.7498,         0.6392,         1.0000,         0.5629,         9.0224,         0.7386,         0.3872,         1.7498,  1443,
       -22.6040,         1.7493,         0.6398,         1.0000,         0.5628,         9.0185,         0.7380,         0.3872,         1.7493,  1443,
       -22.6026,         1.7487,         0.6404,         1.0000,         0.5627,         9.0145,         0.7374,         0.3869,         1.7487,  1444,
       -22.6011,         1.7481,         0.6409,         1.0000,         0.5627,         9.0105,         0.7369,         0.3869,         1.7481,  1444,
       -22.5996,         1.7475,         0.6415,         1.0000,         0.5626,         9.0066,         0.7363,         0.3869,         1.7475,  1444,
       -22.5982,         1.7469,         0.6421,         1.0000,         0.5625,         9.0026,         0.7357,         0.3869,         1.7469,  1444,
       -22.5967,         1.7464,         0.6427,         1.0000,         0.5625,         8.9986,         0.7352,         0.3869,         1.7464,  1444,
       -22.5953,         1.7458,         0.6433,         1.0000,         0.5624,         8.9946,         0.7346,         0.3869,         1.7458,  1444,
       -22.5938,         1.7452,         0.6438,         1.0000,         0.5624,         8.9906,         0.7340,         0.3869,         1.7452,  1444,
       -22.5924,         1.7446,         0.6444,         1.0000,         0.5623,         8.9866,         0.7335,         0.3866,         1.7446,  1445,
       -22.5909,         1.7440,         0.6450,         1.0000,         0.5622,         8.9825,         0.7329,         0.3866,         1.7440,  1445,
       -22.5894,         1.7434,         0.6456,         1.0000,         0.5622,         8.9785,         0.7324,         0.3866,         1.7434,  1445,
       -22.5880,         1.7428,         0.6462,         1.0000,         0.5621,         8.9745,         0.7318,         0.3866,         1.7428,  1445,
       -22.5865,         1.7423,         0.6468,         1.0000,         0.5620,         8.9704,         0.7312,         0.3866,         1.7423,  1445,
       -22.5851,         1.7417,         0.6474,         1.0000,         0.5620,         8.9664,         0.7307,         0.3866,         1.7417,  1445,
       -22.5836,         1.7411,         0.6480,         1.0000,         0.5619,         8.9623,         0.7301,         0.3860,         1.7411,  1447,
       -22.5822,         1.7405,         0.6486,         1.0000,         0.5618,         8.9582,         0.7295,         0.3860,         1.7405,  1447,
       -22.5807,         1.7399,         0.6491,         1.0000,         0.5618,         8.9542,         0.7290,         0.3860,         1.7399,  1447,
       -22.5792,         1.7393,         0.6497,         1.0000,         0.5617,         8.9501,         0.7284,         0.3860,         1.7393,  1447,
       -22.5778,         1.7387,         0.6503,         1.0000,         0.5617,         8.9460,         0.7278,         0.3860,         1.7387,  1447,
       -22.5763,         1.7381,         0.6509,         1.0000,         0.5616,         8.9419,         0.7273,         0.3860,         1.7381,  1447,
       -22.5749,         1.7375,         0.6484,         1.0000,         0.5615,         8.9378,         0.7267,         0.3860,         1.7375,  1447,
       -22.5734,         1.7369,         0.6490,         1.0000,         0.5615,         8.9338,         0.7262,         0.3857,         1.7369,  1448,
       -22.5720,         1.7363,         0.6496,         1.0000,         0.5614,         8.9297,         0.7256,         0.3857,         1.7363,  1448,
       -22.5705,         1.7357,         0.6502,         1.0000,         0.5613,         8.9256,         0.7250,         0.3857,         1.7357,  1448,
       -22.5690,         1.7351,         0.6508,         1.0000,         0.5613,         8.9215,         0.7245,         0.3857,         1.7351,  1448,
       -22.5676,         1.7345,         0.6514,         1.0000,         0.5612,         8.9174,         0.7239,         0.3857,         1.7345,  1448,
       -22.5661,         1.7339,         0.6520,         1.0000,         0.5611,         8.9133,         0.7234,         0.3857,         1.7339,  1448,
       -22.5647,         1.7333,         0.6526,         1.0000,         0.5611,         8.9092,         0.7228,         0.3854,         1.7333,  1449,
       -22.5632,         1.7327,         0.6532,         1.0000,         0.5610,         8.9051,         0.7222,         0.3854,         1.7327,  1449,
       -22.5618,         1.7321,         0.6538,         1.0000,         0.5609,         8.9009,         0.7217,         0.3854,         1.7321,  1449,
       -22.5603,         1.7315,         0.6544,         1.0000,         0.5609,         8.8968,         0.7211,         0.3851,         1.7315,  1450,
       -22.5588,         1.7309,         0.6550,         1.0000,         0.5608,         8.8926,         0.7205,         0.3851,         1.7309,  1450,
       -22.5574,         1.7303,         0.6556,         1.0000,         0.5607,         8.8885,         0.7200,         0.3851,         1.7303,  1450,
       -22.5559,         1.7297,         0.6562,         1.0000,         0.5607,         8.8843,         0.7194,         0.3848,         1.7297,  1451,
       -22.5545,         1.7291,         0.6568,         1.0000,         0.5606,         8.8802,         0.7189,         0.3848,         1.7291,  1451,
       -22.5530,         1.7285,         0.6574,         1.0000,         0.5605,         8.8760,         0.7183,         0.3848,         1.7285,  1451,
       -22.5516,         1.7279,         0.6544,         1.0000,         0.5605,         8.8718,         0.7177,         0.3848,         1.7279,  1451,
       -22.5501,         1.7273,         0.6550,         1.0000,         0.5604,         8.8677,         0.7172,         0.3848,         1.7273,  1451,
       -22.5486,         1.7267,         0.6556,         1.0000,         0.5603,         8.8635,         0.7166,         0.3848,         1.7267,  1451,
       -22.5472,         1.7261,         0.6531,         1.0000,         0.5603,         8.8594,         0.7161,         0.3848,         1.7261,  1451,
       -22.5457,         1.7255,         0.6537,         1.0000,         0.5602,         8.8553,         0.7155,         0.3845,         1.7255,  1452,
       -22.5443,         1.7249,         0.6543,         1.0000,         0.5602,         8.8511,         0.7149,         0.3845,         1.7249,  1452,
       -22.5428,         1.7243,         0.6549,         1.0000,         0.5601,         8.8470,         0.7144,         0.3845,         1.7243,  1452,
       -22.5414,         1.7237,         0.6555,         1.0000,         0.5600,         8.8429,         0.7138,         0.3845,         1.7237,  1452,
       -22.5399,         1.7231,         0.6561,         1.0000,         0.5600,         8.8387,         0.7133,         0.3845,         1.7231,  1452,
       -22.5384,         1.7225,         0.6535,         1.0000,         0.5599,         8.8346,         0.7127,         0.3845,         1.7225,  1452,
       -22.5370,         1.7219,         0.6541,         1.0000,         0.5598,         8.8305,         0.7121,         0.3845,         1.7219,  1452,
       -22.5355,         1.7212,         0.6547,         1.0000,         0.5598,         8.8263,         0.7116,         0.3842,         1.7212,  1453,
       -22.5341,         1.7206,         0.6554,         1.0000,         0.5597,         8.8222,         0.7110,         0.3842,         1.7206,  1453,
       -22.5326,         1.7200,         0.6560,         1.0000,         0.5596,         8.8180,         0.7105,         0.3833,         1.7200,  1456,
       -22.5312,         1.7194,         0.6566,         1.0000,         0.5596,         8.8139,         0.7099,         0.3830,         1.7194,  1457,
       -22.5297,         1.7188,         0.6572,         1.0000,         0.5595,         8.8097,         0.7093,         0.3830,         1.7188,  1457,
       -22.5282,         1.7182,         0.6578,         1.0000,         0.5594,         8.8055,         0.7088,         0.3830,         1.7182,  1457,
       -22.5268,         1.7176,         0.6584,         1.0000,         0.5594,         8.8013,         0.7082,         0.3830,         1.7176,  1457,
       -22.5253,         1.7170,         0.6590,         1.0000,         0.5593,         8.7971,         0.7077,         0.3830,         1.7170,  1457,
       -22.5239,         1.7164,         0.6596,         1.0000,         0.5592,         8.7930,         0.7071,         0.3830,         1.7164,  1457,
       -22.5224,         1.7158,         0.6602,         1.0000,         0.5592,         8.7887,         0.7065,         0.3830,         1.7158,  1457,
       -22.5210,         1.7152,         0.6571,         1.0000,         0.5591,         8.7846,         0.7060,         0.3827,         1.7152,  1458,
       -22.5195,         1.7145,         0.6577,         1.0000,         0.5590,         8.7804,         0.7054,         0.3827,         1.7145,  1458,
       -22.5180,         1.7139,         0.6584,         1.0000,         0.5590,         8.7762,         0.7049,         0.3827,         1.7139,  1458,
       -22.5166,         1.7133,         0.6590,         1.0000,         0.5589,         8.7720,         0.7043,         0.3827,         1.7133,  1458,
       -22.5151,         1.7127,         0.6596,         1.0000,         0.5588,         8.7678,         0.7038,         0.3827,         1.7127,  1458,
       -22.5137,         1.7121,         0.6602,         1.0000,         0.5588,         8.7636,         0.7032,         0.3827,         1.7121,  1458,
       -22.5122,         1.7115,         0.6576,         1.0000,         0.5587,         8.7594,         0.7026,         0.3827,         1.7115,  1458,
       -22.5108,         1.7109,         0.6582,         1.0000,         0.5586,         8.7553,         0.7021,         0.3824,         1.7109,  1459,
       -22.5093,         1.7103,         0.6588,         1.0000,         0.5585,         8.7511,         0.7015,         0.3824,         1.7103,  1459,
       -22.5078,         1.7097,         0.6495,         1.0000,         0.5585,         8.7470,         0.7010,         0.3824,         1.7097,  1459,
       -22.5064,         1.7091,         0.6501,         1.0000,         0.5584,         8.7429,         0.7004,         0.3821,         1.7091,  1460,
       -22.5049,         1.7085,         0.6507,         1.0000,         0.5584,         8.7389,         0.6999,         0.3821,         1.7085,  1460,
       -22.5035,         1.7079,         0.6513,         1.0000,         0.5583,         8.7348,         0.6993,         0.3821,         1.7079,  1460,
       -22.5020,         1.7073,         0.6519,         1.0000,         0.5582,         8.7307,         0.6987,         0.3818,         1.7073,  1461,
       -22.5006,         1.7067,         0.6525,         1.0000,         0.5582,         8.7266,         0.6982,         0.3818,         1.7067,  1461,
       -22.4991,         1.7061,         0.6531,         1.0000,         0.5581,         8.7225,         0.6976,         0.3818,         1.7061,  1461,
       -22.4976,         1.7055,         0.6537,         1.0000,         0.5580,         8.7183,         0.6971,         0.3818,         1.7055,  1461,
       -22.4962,         1.7049,         0.6543,         1.0000,         0.5580,         8.7142,         0.6965,         0.3818,         1.7049,  1461,
       -22.4947,         1.7043,         0.6549,         1.0000,         0.5579,         8.7101,         0.6960,         0.3818,         1.7043,  1461,
       -22.4933,         1.7037,         0.6555,         1.0000,         0.5578,         8.7059,         0.6954,         0.3815,         1.7037,  1462,
       -22.4918,         1.7031,         0.6561,         1.0000,         0.5578,         8.7018,         0.6949,         0.3815,         1.7031,  1462,
       -22.4904,         1.7025,         0.6567,         1.0000,         0.5577,         8.6976,         0.6943,         0.3815,         1.7025,  1462,
       -22.4889,         1.7019,         0.6573,         1.0000,         0.5576,         8.6935,         0.6937,         0.3815,         1.7019,  1462,
       -22.4874,         1.7012,         0.6580,         1.0000,         0.5575,         8.6893,         0.6932,         0.3815,         1.7012,  1462,
       -22.4860,         1.7006,         0.6586,         1.0000,         0.5575,         8.6851,         0.6926,         0.3815,         1.7006,  1462,
       -22.4845,         1.7000,         0.6592,         1.0000,         0.5574,         8.6810,         0.6921,         0.3815,         1.7000,  1462,
       -22.4831,         1.6994,         0.6598,         1.0000,         0.5573,         8.6768,         0.6915,         0.3812,         1.6994,  1463,
       -22.4816,         1.6988,         0.6604,         1.0000,         0.5573,         8.6726,         0.6910,         0.3812,         1.6988,  1463,
       -22.4802,         1.6982,         0.6610,         1.0000,         0.5572,         8.6684,         0.6904,         0.3812,         1.6982,  1463,
       -22.4787,         1.6976,         0.6558,         1.0000,         0.5571,         8.6642,         0.6899,         0.3812,         1.6976,  1463,
       -22.4772,         1.6970,         0.6564,         1.0000,         0.5571,         8.6600,         0.6893,         0.3812,         1.6970,  1463,
       -22.4758,         1.6964,         0.6570,         1.0000,         0.5570,         8.6559,         0.6887,         0.3812,         1.6964,  1463,
       -22.4743,         1.6957,         0.6576,         1.0000,         0.5569,         8.6517,         0.6882,         0.3812,         1.6957,  1463,
       -22.4729,         1.6951,         0.6582,         1.0000,         0.5569,         8.6475,         0.6876,         0.3808,         1.6951,  1464,
       -22.4714,         1.6945,         0.6588,         1.0000,         0.5568,         8.6434,         0.6871,         0.3808,         1.6945,  1464,
       -22.4699,         1.6939,         0.6595,         1.0000,         0.5567,         8.6392,         0.6865,         0.3808,         1.6939,  1464,
       -22.4685,         1.6933,         0.6601,         1.0000,         0.5567,         8.6350,         0.6860,         0.3808,         1.6933,  1464,
       -22.4670,         1.6927,         0.6607,         1.0000,         0.5566,         8.6308,         0.6854,         0.3808,         1.6927,  1464,
       -22.4656,         1.6921,         0.6613,         1.0000,         0.5565,         8.6266,         0.6849,         0.3808,         1.6921,  1464,
       -22.4641,         1.6914,         0.6619,         1.0000,         0.5565,         8.6224,         0.6843,         0.3808,         1.6914,  1464,
       -22.4627,         1.6908,         0.6551,         1.0000,         0.5564,         8.6181,         0.6837,         0.3805,         1.6908,  1465,
